Wall time,Step,Value
1738269093.292296,42,-9.636253356933594
1738269103.4982007,94,-13.61977767944336
1738269119.507005,167,-17.535690307617188
1738269132.8378417,229,-19.740009307861328
1738269133.8496435,234,-19.82666015625
1738269138.175777,255,-20.330608367919922
1738269141.989904,273,-20.948139190673828
1738269149.3781412,308,-21.408613204956055
1738269149.9236217,310,-21.443044662475586
1738269151.4614873,318,-21.324466705322266
1738269184.7674787,474,-22.051345825195312
1738269279.509128,537,-21.146663665771484
1738269288.8656516,580,-21.08577537536621
1738269290.4566166,587,-20.967161178588867
1738269300.8907382,635,-20.37202262878418
1738269303.7192788,648,-19.962629318237305
1738269318.4989095,715,-18.80471420288086
1738269320.326397,723,-18.668895721435547
1738269337.8450336,803,-17.712581634521484
1738269339.1157115,809,-17.135770797729492
1738269345.1699376,837,-16.883541107177734
1738269451.0634854,1016,-13.562088012695312
1738269462.5778465,1068,-12.412994384765625
1738269471.2184775,1106,-11.794352531433105
1738269488.7648194,1182,-10.885045051574707
1738269507.769498,1263,-9.657222747802734
1738269520.4795892,1318,-8.635741233825684
1738269521.106769,1321,-8.721885681152344
1738269524.4713893,1335,-8.436294555664062
1738269525.3408117,1339,-8.516433715820312
1738269536.7633321,1387,-7.928786277770996
1738269538.4928484,1394,-7.64993143081665
1738269549.259375,1438,-7.088332653045654
1738269642.267106,1555,-5.775329113006592
1738269675.7514892,1694,-4.620837211608887
1738269686.2517722,1737,-4.1130547523498535
1738269686.928212,1740,-4.074320316314697
1738269713.0059352,1847,-3.249706506729126
1738269720.8452556,1880,-3.064950704574585
1738269730.8164608,1920,-2.7743396759033203
1738269738.1857803,1950,-2.6002888679504395
1738269824.8012886,2040,-2.034191846847534
1738269839.7869265,2100,-1.6910011768341064
1738269865.5536127,2203,-1.2025883197784424
1738269881.6400328,2266,-1.062700867652893
1738269894.051706,2311,-0.8433434963226318
1738269916.5183055,2393,-0.5770975947380066
1738269928.6455154,2440,-0.4783276915550232
1738269933.04955,2457,-0.23496755957603455
1738269933.546996,2459,-0.3086244463920593
1738269940.9953413,2489,-0.2482571005821228
1738269941.2333176,2490,-0.369987428188324
1738269944.164774,2502,-0.22549931704998016
1738269945.5445673,2507,-0.2189020961523056
1738270020.7494628,2537,-0.1153395026922226
1738270059.179287,2690,0.2574658989906311
1738270072.9945428,2745,0.3235878050327301
1738270130.484557,2972,0.7646355628967285
1738270204.5209925,3044,1.0184308290481567
1738270236.5787747,3167,1.1437950134277344
1738270254.5083764,3236,1.1282241344451904
1738270258.6238277,3252,1.4167650938034058
1738270258.8751817,3253,1.309777855873108
1738270273.898536,3311,1.275832176208496
1738270319.7512572,3486,1.324296236038208
1738270424.8802474,3625,1.4153389930725098
1738270425.498177,3627,1.459384560585022
1738270438.9815788,3677,1.676941156387329
1738270458.161539,3748,1.432342767715454
1738270479.4919844,3821,1.650429368019104
1738270481.4510102,3828,1.6907410621643066
1738270510.3836825,3935,1.70641028881073
1738270518.056043,3963,1.6530938148498535
1738270593.1730375,4044,1.7276579141616821
1738270610.3049362,4106,1.7783697843551636
1738270637.700673,4204,1.8253185749053955
1738270647.6973991,4240,1.7186352014541626
1738270671.287498,4325,1.7220149040222168
1738270694.6952755,4408,1.8286296129226685
1738270720.7587037,4500,1.6222203969955444
1738270725.4863236,4517,1.6402151584625244
1738270828.585241,4673,1.764225721359253
1738270829.668034,4677,1.7894039154052734
1738270832.0668428,4685,1.7630436420440674
1738270864.2004054,4797,1.713024616241455
1738270868.1675496,4811,1.9145073890686035
1738270894.4493482,4903,1.741430640220642
1738270916.3155928,4980,1.9265516996383667
1738271013.1262653,5116,1.8817107677459717
1738271021.4532275,5144,1.6804741621017456
1738271083.1917188,5355,1.844679355621338
1738271087.2131653,5369,1.778612494468689
1738271104.9721234,5430,1.822645664215088
1738271208.2321079,5560,1.9502214193344116
1738271247.791109,5690,1.9584163427352905
1738271261.3572974,5734,1.7937188148498535
1738271287.5768251,5819,1.832883358001709
1738271304.7985497,5875,1.823739767074585
1738271306.9406366,5882,1.8332786560058594
1738271317.9365034,5918,1.980684518814087
1738271342.997824,6001,2.0373849868774414
1738271446.186243,6212,1.9345670938491821
1738271452.1073937,6231,1.953251838684082
1738271473.7903132,6301,2.0352518558502197
1738271501.042877,6388,2.0238029956817627
1738271611.614037,6533,2.0405001640319824
1738271628.6350818,6587,2.07256817817688
1738271637.951082,6616,2.119819164276123
1738271668.3691502,6712,1.936705231666565
1738271672.4422767,6724,2.0165696144104004
1738271718.2360425,6867,2.077956199645996
1738271754.271151,6979,2.124265670776367
1738271848.658489,7128,2.117722988128662
1738271862.0980828,7169,2.1383590698242188
1738271935.8004787,7396,2.093489408493042
1738271961.2591166,7474,1.8786842823028564
1738271962.223283,7477,1.913300633430481
1738271967.170691,7492,1.9707752466201782
1738272032.640075,7526,1.9730486869812012
1738272124.8259065,7803,2.0761146545410156
1738272128.2001588,7813,2.055730104446411
1738272139.9856153,7848,2.1072707176208496
1738272193.4773839,8006,2.082829475402832
1738272264.5536597,8082,2.0790958404541016
1738272304.0381608,8196,2.102046489715576
1738272318.0292242,8237,2.3221852779388428
1738272365.922752,8379,2.1994545459747314
1738272367.5982127,8384,2.0535662174224854
1738272370.6644127,8393,2.1599154472351074
1738272411.9730453,8514,2.224163055419922
1738272415.4260654,8524,2.049440383911133
1738272492.9209397,8618,2.153259754180908
1738272589.3560731,8895,2.117785930633545
1738272599.3412614,8924,2.1656031608581543
1738272606.8312745,8945,2.114269971847534
1738272609.2456396,8952,2.1757965087890625
1738272629.3231833,9010,2.115931749343872
1738272770.5858755,9278,2.191519260406494
1738272832.7984855,9453,2.1773319244384766
1738272844.5321114,9486,2.2130887508392334
1738272936.6789043,9573,2.2196831703186035
1738272941.262804,9586,2.238162040710449
1738272973.4769773,9676,2.1166470050811768
1738272981.9378421,9699,2.219935894012451
1738272988.3530614,9717,2.1058573722839355
1738273040.8969522,9862,2.1457672119140625
1738273063.9018826,9926,2.2029612064361572
1738273169.1710722,10104,2.2214419841766357
1738273239.7569482,10296,2.182171106338501
1738273242.364329,10303,2.2050135135650635
1738273285.452341,10419,2.257521390914917
1738273315.255459,10499,2.2762935161590576
1738273397.4461906,10543,2.3043363094329834
1738273429.7779875,10628,2.3466029167175293
1738273441.4254215,10659,2.147325277328491
1738273447.5047753,10675,2.3466596603393555
1738273468.5701258,10732,2.259262800216675
1738273485.5943005,10778,2.444821357727051
1738273485.955384,10779,2.2802894115448
1738273494.1531255,10801,2.180363178253174
1738273516.9218717,10862,2.412869691848755
1738273520.2715456,10871,2.2543017864227295
1738273540.1361873,10923,2.1886065006256104
1738273541.2266042,10926,2.2942633628845215
1738273555.5826862,10964,2.4117701053619385
1738273564.0539157,10987,2.2122435569763184
1738273567.1089947,10995,2.2380454540252686
1738273638.6650457,11042,2.2873363494873047
1738273669.7062035,11124,2.207758903503418
1738273676.8559961,11143,2.3795576095581055
1738273706.0770109,11220,2.229247570037842
1738273790.4234712,11441,2.188326597213745
1738273810.6913714,11494,2.3370256423950195
1738273818.2674582,11514,2.2743260860443115
1738273894.630098,11546,2.179253578186035
1738273898.1043997,11555,2.2821736335754395
1738273911.2522166,11589,2.257103443145752
1738273942.9859984,11671,2.3390512466430664
1738273957.3239365,11708,2.2663540840148926
1738273985.8670583,11782,2.2135486602783203
1738274029.9565144,11896,2.304856061935425
1738274067.2292778,11992,2.4703197479248047
1738274069.183823,11997,2.327054977416992
1738274131.0926752,12034,2.2810006141662598
1738274181.5541556,12162,2.2288997173309326
1738274191.801423,12188,2.260716438293457
1738274199.6357265,12208,2.1697306632995605
1738274242.193128,12314,2.468640089035034
1738274288.1089706,12429,2.345679998397827
1738274309.464601,12482,2.075279474258423
1738274449.9625988,12696,2.3859667778015137
1738274534.139459,12902,2.177546501159668
1738274559.431808,12964,2.2310070991516113
1738274658.191785,13043,2.2764079570770264
1738274665.2433515,13060,2.312246799468994
1738274676.2633474,13087,2.2588043212890625
1738274685.0522318,13108,2.2149882316589355
1738274690.0159686,13120,2.410452127456665
1738274696.080708,13135,2.1520884037017822
1738274817.9046197,13428,2.442955493927002
1738274819.5419502,13432,2.323683977127075
1738274859.9687,13530,2.196744680404663
1738274921.1013162,13573,2.189924478530884
1738274942.3832057,13624,2.250479221343994
1738274951.970928,13647,2.05660080909729
1738274976.6808598,13706,2.1608481407165527
1738275031.908218,13837,2.364729642868042
1738275063.1513116,13911,2.081169366836548
1738275195.0384502,14108,2.3061888217926025
1738275255.732007,14249,2.428313732147217
1738275283.8889403,14315,2.1010210514068604
1738275287.031906,14322,2.235790729522705
1738275298.0845673,14348,2.093214511871338
1738275305.783633,14366,2.032763957977295
1738275331.3339255,14425,2.373401403427124
1738275352.831787,14475,2.424175500869751
1738275469.3875077,14661,2.1387038230895996
1738275471.9855144,14667,2.515782594680786
1738275485.0555418,14697,2.231685161590576
1738275488.9874635,14706,2.2110097408294678
1738275493.4646084,14716,2.084994316101074
1738275533.7687745,14808,2.089132070541382
1738275537.688431,14817,2.1298351287841797
1738275547.0334582,14838,2.216230630874634
1738275575.249144,14902,2.340674877166748
1738275583.5957,14921,1.9855881929397583
1738275726.304396,15120,2.123765468597412
1738275766.421802,15210,2.0662996768951416
1738275804.978638,15296,2.0622880458831787
